dataset,feature_set,model,target,r2,mae,rmse,nmae,nrmse
powery,full,GradientBoosting,C-3,0.973361235539057,45.01336720568523,56.53458829267835,0.024684769490064033,0.031002863523708565
powery,full,GradientBoosting,C-4,0.9862695627956294,30.8633531932802,38.53141765403514,0.01934907401278691,0.024156391800222672
powery,full,GradientBoosting,C-5,0.9802551434651228,31.595892712406695,41.939852434485914,0.019781233482034,0.02625727403115443
powery,full,GradientBoosting,C-6,0.9797502417198812,35.03026008353467,42.62350956295867,0.021513159081809747,0.026176406902670184
powery,full,GradientBoosting,C-7,0.9888583837047464,27.617698770437457,35.11586737309293,0.017410319704191927,0.022137198422555834
powery,full,GradientBoosting,C-8,0.9760605921794872,44.48866177855451,55.99628997675722,0.025864303293060997,0.032554474990820856
powery,full,GradientBoosting,C-9,0.989986068126954,27.58118087510544,34.31001747115209,0.018866210886361395,0.023468901786933543
powery,full,GradientBoosting,C-10,0.9831042463445276,33.4219014352137,39.64646473969825,0.02430583509382713,0.028832603551425567
powery,full,GradientBoosting,C-11,0.9809631088696908,31.05952520563087,38.83404593000692,0.021501490587213463,0.02688353629037708
powery,full,GradientBoosting,C-12,0.9865921636586914,27.709613080520576,35.83974619378872,0.018344352536788077,0.023726673378563008
powery,full,GradientBoosting,C-13,0.9724079083672654,41.96733308418243,54.75339009355738,0.023136204485386745,0.0301850400389189
powery,full,GradientBoosting,C-14,0.9886365912224374,27.691796264671595,34.902869507682325,0.01971767626259736,0.024852251367534123
powery,full,GradientBoosting,C-15,0.9785275706134701,32.670586984740986,40.627001519001176,0.024032231780801234,0.02988490894025303
powery,selected,Ridge,A-2,0.9887920126384923,7.885330599822064,11.035036922942442,0.013380622619557721,0.01872536132627213
powery,selected,Ridge,B-1,0.9952273314415147,6.789482434566744,9.308408759825545,0.009401175294634056,0.012889050573235838
powery,selected,Ridge,B-2,0.9947507755100451,7.427284438947009,10.145032923330891,0.009023750866602617,0.012325669009466134
powery,selected,Ridge,B-4,0.9919184676761228,7.624525423866707,10.956599181611042,0.010997095928945506,0.015803052066429686
powery,selected,Ridge,B-5,0.9933481225052007,7.8412670121771955,10.638885842254435,0.009936000095864067,0.013480980890507413
powery,selected,Ridge,B-7,0.9955644387467164,6.292473050722438,8.18602488061119,0.009050441546034916,0.011773930389396439
powery,selected,Ridge,B-8,0.9959409929921857,6.227671604256338,8.440275046725798,0.008500466791270865,0.011520562146348466
powery,selected,Ridge,C-1,0.9972927880374608,10.887295495870148,15.059970122906616,0.007413392736260606,0.010254656278945297
powery,selected,Ridge,C-2,0.9976763690459074,12.062977204749386,16.48031126324551,0.007486374343856958,0.01022780507048975
